[000:00:06;271] OO
[000:40:25;169] >> IT'S A TYPICAL CASE.
[000:40:26;670] YEARS LATER, THE CHILD SUES THE
[000:40:27;438] PARENT FOR SEXUAL ABUSE.
[000:40:29;307] THERE IS NO PHYSICAL EVIDENCE,
[000:40:30;408] NO CORROBORATION, JUST THE
[000:40:31;442] CHILD'S RECOVERED MEMORIES.
[000:40:35;078] >> THE ISSUE IS WHETHER IN FACT
[000:40:35;880] THESE THINGS TOOK PLACE.
[000:40:40;117] KATHRYN'S FATHER ALLEGES,
[000:40:41;051] WHETHER THEY WERE PLANTED BY A
[000:40:41;786] THERAPIST.
[000:40:46;156] THAT'S WHAT THIS MINNESOTA
[000:40:47;458] HOUSEWIFE SAYS HAPPENED AFTER A
[000:40:48;692] THERAPIST TOLD HER, "IF YOU
[000:40:49;727] DON'T REMEMBER GETTING RAPED,
[000:40:50;828] YOU WON'T GET WELL."
[000:40:52;630] WITH THAT, SHE SAYS, FALSE
[000:40:53;631] MEMORIES LITERALLY TUMBLED OUT.
[000:40:56;366] EIGHT OR NINE.
[000:40:58;035] >> EIGHT OR NINE DIFFERENT
[000:40:58;803] PEOPLE SHE GOT YOU TO SAY HAD
[000:40:59;804] ABUSED YOU?
[000:41:01;371] >> YES.
[000:41:02;473] >> AND IN FACT, THEY HAD NOT?
[000:41:03;874] >> THEY HAD NOT, NO.
[000:41:05;576] >> THE SAME THING HAPPENED TO
[000:41:06;310] MELODY GAVIGAN.
[000:41:08;011] >> SHE EVEN TOLD ME I WAS DEAD.
[000:41:09;279] >> YEAH, I SAID, "YOU'RE DEAD
[000:41:12;382] >> SHE WOULD HAVE NOTHING TO DO
[000:41:13;517] WITH HER FATHER FOR THREE YEARS
[000:41:14;585] AFTER SHE SAYS A THERAPIST
[000:41:15;786] INSISTED SHE'D HE'D RAPED HER.
[000:41:19;657] >> I DIDN'T SAY THAT I REMEMBER,
[000:41:20;958] BUT HE KEPT IT UP.
[000:41:23;494] >> HE KEPT INSISTING?
[000:41:25;696] >> YES.
[000:41:29;099] TO HAVE A MEMORY OF SOMETHING
[000:41:30;400] THAT NEVER HAPPENED.
[000:41:33;871] >> THIS IS REALLY THERAPIST
[000:41:35;606] ABUSE OF PATIENTS.
[000:41:43;080] >> HOW EASY IS IT FOR A
[000:41:45;315] MEMORY?
[000:41:48;385] >> IT IS VERY EASY.
[000:41:51;388] >> AND THAT IS WHAT AN EXPERT
[000:41:52;422] WITNESS TESTIFIED THAT KATHRYN
[000:41:53;357] HALL'S THERAPIST DID.
[000:41:55;758] >> SHE HOLDS FALSE IDEAS ABOUT
[000:41:56;826] MEMORY, AND SEEMS TO BE
[000:41:58;027] COMMUNICATING SOME OF THOSE
[000:42:05;635] >> AND WHEN KATHRYN HALL'S
[000:42:06;736] THERAPIST ADMITTED THAT SHE HAD
[000:42:07;670] BEEN ABUSED...
[000:42:09;572] >> I WAS ABUSED BY MY FATHER,
[000:42:11;240] GRANDFATHER, UNCLE, AND BY MY
[000:42:12;909] BROTHER.
[000:42:18;180] WHETHER SHE HAD HER OWN BIAS AND
[000:42:19;448] FOUND, IN HER PATIENTS, WHAT SHE
[000:42:21;017] SET OUT TO FIND.
[000:42:23;452] >> IT IS NOT MY JOB TO DISCOVER
[000:42:24;320] THE TRUTH.
[000:42:26;122] IT IS MY JOB TO FACILITATE HER
[000:42:27;256] AND GIVE HER A FREE, SAFE PLACE
[000:42:35;231] >> WE ALL HAVE REPRESSED
[000:42:36;666] MEMORIES.
[000:42:38;701] >> PSYCHOLOGIST RENEE
[000:42:40;003] FREDERICKSON INSISTS THAT
[000:42:41;203] FINDING THOSE MEMORIES HAS
[000:42:42;304] BROUGHT RELIEF FOR COUNTLESS
[000:42:43;540] PATIENTS.
[000:42:45;174] >> THE CLIENT DECIDES IF IT'S
[000:42:46;108] FACT OR FANTASY.
[000:42:48;011] IT IS THE CLIENT'S JOURNEY, NOT
[000:42:51;848] >> IF THEY RECALL IT, IT DID
[000:42:53;583] OCCUR?
[000:42:55;251] >> IF THEY RECALLED IT, IT
[000:42:56;352] PROBABLY OCCURRED.
[000:42:58;521] >> THE VAST MAJORITY OF
[000:42:59;656] RECOVERED MEMORIES ARE RECOVERED
[000:43:00;924] FROM REAL CHILD SEXUAL ABUSE
[000:43:02;191] THAT TOOK PLACE.
[000:43:06;563] THE DAUGHTER WHO FALSELY ACCUSED
[000:43:07;730] HER FATHER ARE NOW SUING THE
[000:43:08;831] THERAPISTS.
[000:43:11;968] >> YOU JUST KNOW WHAT IS A
[000:43:13;135] MEMORY AND WHAT ISN'T.
[000:43:15;304] >> THERE IS NO DOUBT IN MY MIND
[000:43:16;505] SHE IS SINCERE IN BELIEVING
[000:43:17;773] THESE, BUT THEY AREN'T REAL.
[000:43:22;578] DISMISSING KATHRYN'S COMPLAINT,
[000:43:24;146] RULING THAT MEMORY ALONE IS NOT
[000:43:25;548] ENOUGH TO SUSTAIN CHARGES OF
[000:43:27;183] RAPE.
[000:43:29;385] THE RULING CLEARED HER FATHER'S
[000:43:30;886] NAME, BUT BY THEN WHAT HAD
[000:43:32;154] EMERGED IN THERAPY HAD SHATTERED
[000:43:33;389] A FAMILY.
[000:43:36;024] IN SAN FRANCISCO, THIS IS BOB
[000:43:39;995] >> AND THAT'S OUR NEWS.
[000:43:41;564] COMING UP ON "48 HOURS", A TRIP
[000:43:42;664] DOWN ONE OF AMERICA'S LAST GREAT
[000:43:43;599] HIGHWAYS.
[000:43:45;867] JOIN DAN RATHER FOR "48 HOURS,"
[000:43:47;236] ROUTE 66 TONIGHT AT 10:00, 9:00
[000:43:48;404] CENTRAL TIME HERE ON CBS.
[000:43:52;408] I'M YEARS CELEBRATEION WAS
[000:43:53;209] SUPPOSED TO BE IN MEMORY OF THE
[000:43:54;009] SHOOTING OF THE SIX YEAR OLD.IT
[000:43:55;944] WAS SUPPOSED TO A SORT OF A
[000:43:57;413] HEALING. BUT SINCE NOONE HAS
[000:43:59;381] BEEN ARRESTED IN CONNECTION
[000:44:00;416] WITH THE SHOOTING. ORGANIZERS
[000:44:02;951] DIDN'T THINK THAT THER WOULD BE
[000:44:04;886] MUCH HEALING GOING ON."
[000:44:06;922] "THEY DIDN'T CHARGE ANYONE WITH
[000:44:08;824] THE SHOOTING.HIS PARENTS ARE
[000:44:10;192] GOING THROUGH ALOT RIGHT NOW.IF
[000:44:13;962] WOULD HAVE FOUND SOMEONE."
[000:44:16;465] DELORES COLEMAN IS ONE OF THE
[000:44:17;733] EVENTS COORDINATORS.SHE SEES
[000:44:18;501] ALL THIS AS A MINOR SETBACK.
[000:44:19;801] "THIS COMMUNTIY AHS SURVIVED
[000:44:20;569] FOR 50 YEARS . I KNOW THEYLL
[000:44:22;004] MISS THE FESTIVAL. BUT THERE'S
[000:44:22;804] ALWAYS NEXT YEAR."
[000:44:24;072] IN MARIN CITY TOMAS ROMAN CH5
[000:44:24;840] EWN
[000:44:26;074] THE MURDER OF SIX YEAR OLD QAID
[000:44:31;347] POLICE FOUND THE GUN USED TO
[000:44:32;848] KILL HIM... BUT HAVE NEVER COME
[000:44:33;649] UP WITH A SUSPECT.
[000:44:35;784] THE HEAT OVER IMMIGRATION WAS
[000:44:37;886] TURNED UP ANOTHER NOTCH TODAY
[000:44:38;654] ... WITH A PROPOSAL TO MAKE
[000:44:39;420] FARMERS PAY THE PRICE OF HIRING
[000:44:41;890] ILLEGAL IMMIGRANTS. ASSEMBLY
[000:44:44;059] SPEAKER WILLIE BROWN ENDORSED
[000:44:44;826] THE IDEA OF SEIZING THE
[000:44:45;894] PROPERTY OF ANYONE WHO
[000:44:46;862] KNOWLINGLY HIRES AN
[000:44:47;929] UNDOCUMENTED WORKER.
[000:44:51;033] (IF) YOU HAVE VIOLATED THE LAW
[000:44:52;968] TO GAIN THE OPPORTUNITY FOR
[000:44:54;036] PROFIT, THEN YOU OUGHT TO HAVE
[000:44:56;004] TO FORFEIT THAT PROFIT. DO YOU
[000:44:57;172] FAVOR THE BILL? ABSOLUTELY ...
[000:44:58;206] IT WAS MY IDEA!
[000:45:03;244] GOVERNOR WILSON ANNOUNCED HIS
[000:45:05;814] BACKING
[000:45:11;086] FOR A NUMBER OF VERY DIFFERENT
[000:45:11;920] PROPOSALS ... ALL OF THEM
[000:45:13;555] DESIGNED TO MAKE LIFE TOUGHER
[000:45:14;322] FOR ILLEGAL IMMIGRANTS.
[000:45:16;457] THE BILLS ENDORSED BY THE
[000:45:18;626] GOVERNOR INCLUDE SB 976, TO
[000:45:19;661] DENY DRIVERS' LICENSES TO
[000:45:20;461] ILLEGAL IMMIGRANTS.
[000:45:23;565] PUBLIC OR PRIVATE JOB TRAINING
[000:45:24;365] FOR ILLEGAL IMMIGRANTS.
[000:45:26;534] SB 1131, INCREASING PENALTIES
[000:45:30;739] FOR FRAUDULENTLY OBTAINING
[000:45:32;207] MEDI-CAL HEALTH COVERAGE.
[000:45:35;410] AND SB 691, AUTHORED BY SAN
[000:45:36;444] FRANCISCO'S QUENTIN KOPP ...
[000:45:38;013] ALLOWING POLICE TO REPORT
[000:45:39;314] ILLEGAL IMMIGRANTS TO FEDERAL
[000:45:40;082] INS AGENTS.
[000:45:42;818] THE GOVERNOR SAID IT WAS TIME
[000:45:45;286] FOR CALIFORNIA TO SEND A "CLEAR
[000:45:46;387] MESSAGE" ABOUT IMMIGRATION."
[000:45:48;190] IF NOT CALIFORNIA, AT LEAST
[000:45:48;957] IT'S POLITICIANS.
[000:45:51;526] THE BORDER-- AND THE ISSUE--
[000:45:55;530] SHRINE TO WHICH OFFICE HOLDERS
[000:45:57;732] MAKE PILGRIMAGES... SEEKING
[000:45:58;933] THEIR OWN POLITICAL MIRACLES.
[000:46:00;601] SENATOR FEINSTEIN AT THE BORDER
[000:46:03;170] WITH THE ATTORNEY GENERAL.
[000:46:04;504] FEINSTEIN PROPOSES A $1
[000:46:05;973] CROSSING FEE TO FINANCE MORE
[000:46:08;709] AGENTS. SHE SAYS WE MUST GET A
[000:46:09;509] GRIP ON THE BORDER.
[000:46:11;612] SENATOR BOXER TALKS ABOUT THE
[000:46:12;847] BORDER...SHE SAYS IT'S TIME TO
[000:46:15;515] PUT THE NATIONAL GUARD ON
[000:46:16;217] PATROL.
[000:46:18;318] GOVERNOR WILSON, ANSWERING
[000:46:19;720] CRITICS OF HIS PLAN TO CHANGE
[000:46:22;456] THE LAWS AND CUT THE BENEFITS.
[000:46:23;991] SOT(WILSON): "KISS MY REAR END"
[000:46:24;792] AT THIS POINT LET'S AKNOWLEDGE
[000:46:25;592] THERE IS A PROBLEM. ALSO, THAT
[000:46:26;393] IT IS ROOTED IN BOTH
[000:46:27;027] INTERNATIONAL ECONOMICS AND
[000:46:29;096] HUMAN SUFFERING. THAT IT WILL
[000:46:30;097] TAKE BILLIONS OF DOLLARS, NE
[000:46:31;031] LAWS, TO BEGIN TO SOLVE.
[000:46:33;200] SO... ALONG WITH THAT...WHAT'S
[000:46:34;001] GOING ON HERE?
[000:46:36;737] POLITICIANS ARE SEIZING ON A
[000:46:37;738] HOT ISSUE...
[000:46:40;540] SOT(YOACHUM): "IN 1982 IT WAS
[000:46:44;378] DEATH PENALTY. IN L992 IT WAS
[000:46:45;512] THE ECONOMY. NOW IT IS AN
[000:46:46;781] EXTENSION OF THE ECONOMY:
[000:46:49;383] ILLEGAL ALIENS. (1, 15:18) SOT
[000:46:50;684] (MAN): "ILLEGAL IMMIGRANTS TEND
[000:46:53;120] TO TAKE MONEY FROM OUR OWN
[000:46:54;255] CITIZENS. (2, 00:32)
[000:46:56;957] SOT (WOMAN): "WE'RE SPENDING
[000:46:59;493] TOO MUCH MONEY WHEN THERE ARE
[000:47:00;761] OTHER THINGS THAT NEED TO BE
[000:47:01;962] DONE." (2, 06:39)
[000:47:03;264] WELCOME TO THE NEW HOT BUTTON..
[000:47:04;198] WHICH IS AN OLD HOT BUTTON.
[000:47:05;166] WORRYING ABOUT IMMIGRANTS GOES
[000:47:07;101] BACK AT LEAST TOIRISH FLEEING
[000:47:07;902] THE POTATO FAMINE IN 1850.
[000:47:09;804] AT THE TURN OF THE CENTURY,
[000:47:12;406] EASTERN EUROPEANS RAISED FEARS
[000:47:13;240] OF TOO MANY THEM IN A NATION OF
[000:47:14;041] US .
[000:47:15;442] HERE WE ARE AGAIN... AND AGAIN,
[000:47:17;044] A QUESTION: ARE PEOPLE LOOKING
[000:47:19;646] FOR REAL ANSWERS, OR ATTITUDE?
[000:47:22;048] SOT(REILLY): "PEOPLE ARE
[000:47:24;384] LOOKING FIRST TO VENT THEIR
[000:47:25;519] FRUSTRATION. PEOPLE ARE LOOKING
[000:47:28;087] FOR PUBLIC FIGURES TO VALIDATE
[000:47:33;059] SO THE PUBLIC FIGURE HAS TO
[000:47:34;628] HAVE ATTITUDE? YES, THE PUBLIC
[000:47:37;631] FIGURE HAS TO BE ANGRY." (3,
[000:47:38;398] 02:10)
[000:47:39;633] WHICH IS THE MOOD IN
[000:47:40;266] SACRAMENTO. CHARGES OF
[000:47:40;934] RACI...
[000:47:41;368] SOT (TBA):
[000:47:42;402] CHARGES OF STUPIDITY:
[000:47:43;337] SOT (TBA):
[000:47:46;206] AND SOME I TOLD YOU SO...
[000:47:47;106] SOT (TBA):
[000:47:51;345] SOT (YOACHUM): "EVERY ELECTED
[000:47:53;246] OFFICIAL WHOS USED ILLEGAL
[000:47:54;881] IMMIGRATION AS A WHIPPING BOY
[000:47:57;484] HAS GONE UP IN THE POLLS." (1,
[000:47:58;284] 08:52)
[000:48:00;053] AND THIS COULD BE THE ISSUE
[000:48:01;187] THAT REVIVES GOVERNOR WILSON,
[000:48:03;923] WHO AT THE MOMENT ISN'T EVEN
[000:48:05;359] THE FIRST CHOICE OF SIXTY
[000:48:06;226] PERCENT OF THE REPUBLICANS:
[000:48:08;261] SOT (REILLY): "THIS COULD BE
[000:48:10;096] THE ISSUE THAT REMINDS
[000:48:11;097] REPUBLICANS WHY THEY VOTED FOR
[000:48:12;131] PETE WILSON IN THE FIRST PLACE,
[000:48:13;266] AND WHY THEY SHOULD NO VOTE FOR
[000:48:14;067] HIM AND NOT KATHLEEN BROWN."
[000:48:15;535] SO, THAT'S THE WAY IT WORKS...
[000:48:16;503] IT'S A CROWDED FIELD... MAJOR
[000:48:17;604] DEMOCRATS, THE GOVERNOR. SO
[000:48:20;106] WHILE YOU WATCH... REMEMBER.
[000:48:22;275] IMMIGRATION IS A REAL PROBLEM.
[000:48:24;711] KEEP YOUR EYE ON WHO'S GOT
[000:48:25;445] SENSIBLE PROPOSALS...
[000:48:27;080] AND WHO'S BEING A
[000:48:31;752] FINGERPRINTING IS ONE OF THE
[000:48:32;552] TIME-HONORED METHODS OF
[000:48:33;219] CRIME-SOLVING.
[000:48:34;454] IT'S ALSO ONE OF THE MOST
[000:48:35;188] CUMBERSOME.
[000:48:36;222] NOW, SANTA CLARA COUNTY IS
[000:48:37;624] GETTING SOME HIGH-TECH HELP
[000:48:39;259] FROM A COMPUTER FIRM IN SILICON
[000:48:40;059] VALLEY.
[000:48:41;260] "CONFIRM" IS THE NAME OF THIS
[000:48:43;962] AUTOMATED FINGERPRINT CHECKER,
[000:48:44;764] BUILT BY TRW.
[000:48:46;699] IT USES COMPUTER SCANNING TO
[000:48:49;067] DO THE WORK THAT USED TO TAKE
[000:48:49;835] WEEKS TO DO BY HAND.
[000:48:51;103] TRW IS HOPING THIS PILOT
[000:48:52;438] PROJECT WILL LEAD TO A NATIONAL
[000:48:53;839] NETWORK.
[000:48:55;608] DID HE OR DIDN'T HE? HIS
[000:48:57;209] cLpo%gU
[000:48:59;344] COMMANDER ROBERT STUMPF HAS
[000:49:01;647] BEEN TEMPORARILY REASSIGNED,
[000:49:03;849] WHILE INVESTIGATORS LOOK INTO
[000:49:04;650] HIS LEADERSHIP ROLE AT THE
[000:49:06;084] PILOTS CONVENTION TWO YEARS-AGO
[000:49:08;554] 83 WOMEN SAY THEY WERE
[000:49:09;755] ASSAULTED AT THE TAILHOOK
[000:49:10;456] MEETING.
[000:49:12;525] SO FAR, 175 CASES HAVE BEEN
[000:49:13;893] TURNED OVER TO THE NAVY AND
[000:49:16;562] MARINE CORPS FOR POSSIBLE
[000:49:17;863] PROSECUTION OR PUNISHMENT.
[000:49:27;940] >> OH, YOU THINK-- EXCUSE ME
[000:49:28;641] INTERRUPTING.
[000:49:29;809] YOU THINK IT MAY TAKE AWAY
[000:49:30;876] TREASURY FUNCTIONS OR COAST
[000:49:32;445] GUARD FUNCTIONS OR POSTAL
[000:49:33;278] SERVICE FUNCTIONS, DO YOU?
[000:49:38;317] >> WELL, I THINK THAT IT MAY TRY
[000:49:39;318] TO COORDINATE SOME OF THOSE
[000:49:41;454] AGENCIES AS WELL, BECAUSE I
[000:49:43;422] THINK THE PURPOSE OF THIS WHOLE
[000:49:45;458] SUBJECT MATTER IS TO COORDINATE
[000:49:47;292] LAW ENFORCEMENT ACTIVITY, AND
[000:49:48;961] IT'S MY HOPE THAT THE VICE
[000:49:50;996] PRESIDENT'S REPORT WILL DO A
[000:49:53;599] NUMBER OF THINGS WHICH WILL MAKE
[000:49:55;501] IT EASIER TO COORDINATE THE
[000:49:57;703] INTELLIGENCE AND DEAL WITH
[000:50:00;905] INFORMANTS AND HANDLE THE TURF
[000:50:01;639] BATTLES THAT COMES UP ON A
[000:50:02;307] REGULAR BASIS.
[000:50:03;208] I KNOW THAT I'VE SUGGESTED IT A
[000:50:04;576] NUMBER OF TIMES, AND I'VE HEARD
[000:50:05;877] IT IN OTHER PLACES, THAT THERE
[000:50:08;480] SHOULD BE A CHIEF OF STAFF FOR
[000:50:10;115] DRUG LAW ENFORCEMENT, AS THERE
[000:50:11;383] IS WITH THE MILITARY; THAT IS,
[000:50:12;684] SOMEBODY WHO SETS GUIDELINES AND
[000:50:13;751] SOMEBODY WHO CONTROLS THE
[000:50:14;552] INTELLIGENCE SYSTEMS.
[000:50:16;921] AND I THINK THAT THE EFFORT ON
[000:50:19;324] THE PART OF THE VICE PRESIDENT,
[000:50:20;725] WE'RE GOING TO HAVE TO WAIT TO
[000:50:22;194] SEE WHAT THE OUTCOME IS, BUT I
[000:50:23;628] THINK HIS GOAL AND THE IDEA OF
[000:50:24;997] THE NEW ADMINISTRATION WAS TO
[000:50:26;198] COORDINATE LAW ENFORCEMENT, AND
[000:50:27;966] I THINK THAT'S A LAUDABLE GOAL,
[000:50:30;135] AND I'M GLAD TO SEE THEM MAKING
[000:50:33;271] STEPS IN THAT DIRECTION.
[000:50:34;572] >> BUT YOU'D LIKE TO SEE THAT
[000:50:35;307] COORDINATION DONE BY THE F.B.I.?
[000:50:36;941] >> WELL, I THINK THAT THE F.B.I.
[000:50:38;276] IS CERTAINLY THE LAW ENFORCEMENT
[000:50:39;911] AGENCY THAT EVERYBODY RECOGNIZES
[000:50:41;613] AND IS THE ONE WITH THE LARGEST
[000:50:43;948] BUDGET, AND IT CERTAINLY IS THE
[000:50:46;584] ONE THAT RIGHT NOW IS BEING
[000:50:48;586] LOOKED TO TO PROVIDE SOME
[000:50:50;255] LEADERSHIP.
[000:50:51;890] I THINK THAT JACK LAWN IS RIGHT,
[000:50:53;691] THAT D.E.A. WAS GIVEN THE TASK
[000:50:55;193] OF HANDLING DRUG LAW
[000:50:57;496] ENFORCEMENT, AND UNFORTUNATELY,
[000:50:59;331] THE CASES HAVE THEN BEEN
[000:51:01;533] PROLIFERATED THROUGHOUT FEDERAL
[000:51:04;002] LAW ENFORCEMENT, AND THAT
[000:51:05;570] CREATED THE PROBLEMS WITH TURF
[000:51:07;439] WARS AND BUDGETS, AND
[000:51:10;675] INTELLIGENCE INFORMATION IS
[000:51:12;210] BEING SPREAD ALL OVER FEDERAL
[000:51:13;545] LAW ENFORCEMENT, WHICH IS WHERE
[000:51:15;447] THE PROBLEM LIES.
[000:51:18;716] >> MR. LAWN, WHY WOULD IT DILUTE
[000:51:19;884] THE D.E. MISSION, THE DRUG
[000:51:23;255] ENFORCEMENT MISSION, AND NOT
[000:51:25;823] CONCENTRATE IT TO HAVE IT PUT
[000:51:26;724] UNDER THE F.B.I.?
[000:51:27;692] >> VERY SIMPLY BECAUSE THE
[000:51:29;126] F.B.I. IS A MULTIMISSION AGENCY.
[000:51:30;962] NOT ONLY DO THEY HAVE
[000:51:32;329] RESPONSIBILITY IN CRIMINAL
[000:51:33;698] INVESTIGATION, BUT IN FOREIGN
[000:51:35;132] COUNTERINTELLIGENCE.
[000:51:39;236] AND WHEN ONE LOOKS TO ELICIT
[000:51:40;905] COOPERATION FROM OUR FOREIGN
[000:51:42;273] COUNTERPARTS, THE 50 YEARS'
[000:51:44;375] EXPERIENCE THAT D.E.A. HAS HAD
[000:51:48;012] OVERSEAS CLEARLY IS VERY
[000:51:50;715] IMPORTANT TO THIS EFFORT.
[000:51:52;550] FOR AN AGENCY TO GO IN WITH SOME
[000:51:54;018] 280 VIOLATIONS, VARIOUS
[000:51:56;454] PRIORITIES, THEY CAN ALTER THEIR
[000:51:57;722] PRIORITIES.
[000:51:59;290] THE DRUG SITUATION IS SO BAD
[000:52:00;792] THAT WE MUST HAVE ONE AGENCY
[000:52:02;226] WITH ONE MISSION WITH
[000:52:03;995] INDIVIDUALS WHO HAVE SPENT A
[000:52:05;997] LIFETIME DEVELOPING THE
[000:52:07;932] EXPERTISE TO DEAL WITH THESE
[000:52:10;068] INVESTIGATIONS.
[000:52:14;806] >> WELL, WHY COULDN'T THEY DO
[000:52:15;539] THAT UNDER THE F.B.I.?
[000:52:16;641] >> BECAUSE THE F.B.I. HAS SOME
[000:52:17;642] 280 VIOLATIONS, AND IF THERE
[000:52:19;010] WERE, FOR EXAMPLE, A TERRORIST
[000:52:20;979] INCIDENT IN THE UNITED STATES,
[000:52:22;513] LIKE THE BOMBING IN NEW YORK,
[000:52:23;948] THE F.B.I. PRIORITIES WILL
[000:52:25;382] IMMEDIATELY CHANGE.
[000:52:29;821] IN DRUG LAW ENFORCEMENT, THERE
[000:52:31;022] IS BUT ONE PRIORITY.
[000:52:33;290] AND CLEARLY IF ANYONE DECIDES
[000:52:35;159] THAT THE SINGLE-MISSION CONCEPT
[000:52:37;629] DOES NOT WORK, THEY ARE
[000:52:39;097] INDICATING A CAPITULATION TO THE
[000:52:42;333] DRUG TRAFFICKERS, BECAUSE
[000:52:44;401] COUNTRIES THROUGHOUT THE WORLD
[000:52:47;938] ARE LOOKING TO ADOPT THE SINGLE-
[000:52:49;740] MISSION CONCEPT BECAUSE THEY'VE
[000:52:52;042] SEEN HOW EFFECTIVELY THAT
[000:52:54;011] SINGLE-MISSION CONCEPT HAS
[000:52:55;979] WORKED.
[000:52:57;014] >> WHAT DO YOU SAY TO THAT, MR.
[000:52:58;982] GREGORIE?
[000:53:00;416] >> I THINK HE'S RIGHT.
[000:53:03;920] I THINK THE DRUG PROBLEM IS
[000:53:05;155] REALLY A FOREIGN POLICY PROBLEM,
[000:53:06;322] AND IF YOU LOOK TO THE SINGLE
[000:53:07;791] CONVENTION ON NARCOTICS TREATY
[000:53:09;159] TO WHICH THE UNITED STATES IS A
[000:53:10;193] PARTY, AND THE ONE WHICH WE RELY
[000:53:11;061] ON WHEN WE'RE DEALING WITH OTHER
[000:53:12;062] COUNTRIES AND DEALING WITH THE
[000:53:13;329] NARCOTICS PROBLEM, THE SINGLE
[000:53:14;831] CONVENTION REQUIRES ALL THE
[000:53:15;598] SIGNATORIES TO THE TREATY TO
[000:53:16;599] HAVE ONE AGENCY RESPONSIBLE FOR
[000:53:17;634] DEALING WITH DRUG LAW
[000:53:18;401] ENFORCEMENT.
[000:53:20;837] NOW, THIS AGENCY CAN BE A
[000:53:22;706] DIVISION OF A POLICE-- OF
[000:53:24;574] ANOTHER POLICE AGENCY, SO
[000:53:25;542] CERTAINLY YOU COULD HAVE A
[000:53:26;643] DIVISION OF THE F.B.I. WHICH WAS
[000:53:29;179] DEALING WITH DRUG LAW
[000:53:31;114] ENFORCEMENT, BUT IN ORDER TO
[000:53:32;549] COMPLY WITH THAT TREATY, WE
[000:53:33;717] CERTAINLY WOULD HAVE TO HAVE ONE
[000:53:35;351] AGENCY INVOLVED WITH THE DRUG
[000:53:37;554] LAW ENFORCEMENT, AND IF THE
[000:53:39;322] F.B.I. IS GOING TO DO IT,
[000:53:40;223] THEY'RE GOING TO HAVE TO HAVE A
[000:53:41;357] SINGLE DIVISION WHICH HANDLES
[000:53:42;559] THAT.
[000:53:45;228] SECONDLY, I THINK THAT TO HAVE
[000:53:46;997] YOUR EXPERTISE IN ONE AREA IS
[000:53:48;398] VERY IMPORTANT.
[000:53:50;834] LONG-TERM INVESTIGATIONS REQUIRE
[000:53:51;868] A HISTORICAL KNOWLEDGE OF THE
[000:53:53;770] PROBLEM, AND I THINK D.E.A. HAS
[000:53:56;139] CERTAINLY DEVELOPED THAT, AND I
[000:53:57;741] DON'T THINK THAT IF THERE WAS A
[000:53:59;409] MERGER, THERE WOULD BE ANY
[000:54:00;744] ATTEMPT TO CUT OFF THE AGENTS
[000:54:02;112] WHO'VE BEEN WORKING ON THESE
[000:54:03;479] PROBLEMS FOR YEARS; RATHER, I
[000:54:04;948] THINK THEY WOULD ATTEMPT TO
[000:54:06;216] MERGE THEM WITH F.B.I. AGENTS
[000:54:07;851] WHO CERTAINLY HAVE THE ABILITY
[000:54:09;019] TO DELVE INTO SOME OF THESE
[000:54:10;419] DIFFICULT AND COMPLICATED CASES.
[000:54:12;755] >> SOME OF THE-- ONE OBJECTION
[000:54:14;223] CONGRESSMAN RANGEL, WHO OPPOSES
[000:54:15;925] THIS MERGER, RAISES IS THAT THE
[000:54:17;492] F.B.I. HAS A HABIT OF ROTATING
[000:54:19;962] ITS AGENTS AMONG DIFFERENT
[000:54:21;797] DIVISIONS, AND THAT A LOT-- HE
[000:54:23;532] SEES A LOT OF THE DRUG
[000:54:25;034] ENFORCEMENT EXPERTISE BEING
[000:54:26;468] DILUTED WITH THAT.
[000:54:29;605] DO YOU AGREE WITH THAT, JACK
[000:54:32;641] LAWN?
[000:54:34;810] >> YES, I MOST CERTAINLY DO
[000:54:36;045] AGREE WITH THAT.
[000:54:37;312] >> AND WHAT ABOUT YOU, MR.
[000:54:38;280] GREGORIE?
[000:54:40;082] >> WELL, I THINK THAT THE ONE
[000:54:41;751] THING ABOUT A MERGER WILL BE
[000:54:43;953] THAT THERE'S GOING TO HAVE TO BE
[000:54:44;854] A LOT OF CHANGES.
[000:54:47;389] THE F.B.I. PROMOTES ITS AGENTS
[000:54:48;124] BASED ON THE DEVELOPMENT OF
[000:54:48;891] INTELLIGENCE; THE D.E.A.
[000:54:49;658] PROMOTES ITS AGENTS BASED ON HOW
[000:54:50;626] MANY ARRESTS AND THE VALUE OF
[000:54:51;627] THE ARRESTS AND HOW MUCH DOPE,
[000:54:52;728] ESSENTIALLY, THEY PUT ON THE
[000:54:54;696] TABLE.
[000:54:57;499] >> SO YOU MEAN THE F.B.I. WOULD
[000:54:58;267] HAVE TO CHANGE?
[000:54:59;001] >> I'M SORRY?
[000:55:00;202] >> YOU MEAN THE F.B.I. WOULD
[000:55:01;570] HAVE TO CHANGE IF THIS MERGER
[000:55:02;304] TOOK PLACE?
[000:55:03;105] >> WELL, THEN I THINK THEY'RE
[000:55:04;073] GOING TO HAVE TO AGREE-- WHAT
[000:55:05;040] YOU'RE TALKING ABOUT ARE THE
[000:55:06;275] PARTICULARS OF THE MERGER, AND
[000:55:07;943] AGAIN, AS I SAID, WE HAVEN'T
[000:55:08;844] SEEN THE VICE PRESIDENT'S
[000:55:09;745] PROPOSAL, AND UNTIL WE DO, WE
[000:55:11;080] DON'T KNOW EXACTLY HOW THIS
[000:55:12;281] MERGER IS GOING TO TAKEPLACE,
